"titel","laufjahr","laufnummer","beschreibung","thema","seiten","url"
"Entwicklung der Konsumentenpreise in der Stadt Zürich seit 1950",1989,66,"Durchschnittliche Preisentwicklung für Konsumgüter und Dienstleistungen sowie Mieten 1950 bis 1987","Konsumentenpreise, Preise, Indexreihen, Wirtschaft, Mieten, Inflation",47,"https://statistik.stadt-zuerich.ch/modules/StatNat/1989/1989_ZSN_Entwicklung-der-Konsumentenpreise-in-der-Stadt-Zuerich-seit-1950.pdf"
"Zürcher Fremdenverkehr im Jahre 1988",1989,66,"Entwicklung und aktuelle Struktur des Fremdenverkehrs in der Stadt Zürich 1988","Tourismus, Aufenthaltsart, Hotel, Reisen, Übernachtungen",29,"https://statistik.stadt-zuerich.ch/modules/StatNat/1989/1989_ZSN_Zuercher-Fremdenverkehr-im-Jahre-1988.pdf"
"Strassenverkehrsunfälle in der Stadt Zürich im Jahre 1988",1989,66,"Strassenverkehrsunfälle nach Unfallursachen, Unfallart, Unfallstelle, Strassenart, Alter, Fahrzeugarten, Unfallzeit etc. 1988","Auto, Verkehr, Unfälle",24,"https://statistik.stadt-zuerich.ch/modules/StatNat/1989/1989_ZSN_Strassenverkehrsunfaelle-in-der-Stadt-Zuerich-im-Jahre-1988.pdf"
"Auswirkungen des Wegzuges juristischer Personen auf die Steuereinnahmen der Stadt Zürich in den Jahren 1985 bis 1987",1989,66,"Steuerausfälle durch den Wegzug von juristischen Personen aus der Stadt Zürich gesamthaft und nach Zuzugsgebieten 1985 bis 1987","Wirtschaft, Steuern, Unternehmen",7,"https://statistik.stadt-zuerich.ch/modules/StatNat/1989/1989_ZSN_Auswirkungen-des-Wegzuges-juristischer-Personen-auf-die-Steuereinnahmen-_-1985-bis-1987.pdf"
"Leerwohnungszählungen in der Stadt Zürich am 1. Juni 1989",1989,66,"Leerwohnungsbestand nach Zimmerzahl und Stadtquartieren in der Stadt Zürich 1989","Bauen & Wohnen, Leerwohnungen, Wohnen, Wohnungen",8,"https://statistik.stadt-zuerich.ch/modules/StatNat/1989/1989_ZSN_Leerwohnungszaehlungen-in-der-Stadt-Zuerich-am-1-Juni-1989.pdf"
"Mietpreise für Geschäftsräume in der Zürcher Tagespresse vom Sommer 1988 bis Frühling 1989",1989,66,"Jahresmietpreise für Gewerbe-, Laden- und Büroräume nach Standorten in den Mietinseraten der Neuen Zürcher Zeitung und des Tagesanzeigers Sommer 1988 bis Frühling 1989","Wirtschaft, Gebäude, Mieten",22,"https://statistik.stadt-zuerich.ch/modules/StatNat/1989/1989_ZSN_Mietpreise-fuer-Geschaeftsraeume-in-der-Zuercher-Tagespresse-vom-Sommer-1988-bis-Fruehling-1989.pdf"
"Angetrunkene Fahrzeuglenker als Verursacher von Strassenverkehrsunfällen in der Stadt Zürich 1984-1988",1989,66,"Strassenverkehrsunfälle durch angetrunkene Fahrzeuglenker nach Fahrzeugart, Alter, Unfallzeitpunkt und Grad der Angetrunkenheit in der Stadt Zürich 1984 bis 1988","Verkehr, Unfälle",13,"https://statistik.stadt-zuerich.ch/modules/StatNat/1989/1989_ZSN_Angetrunkene-Fahrzeuglenker-als-Verursacher-von-Strassenverkehrsunfaellen-in-der-Stadt-Zuerich-1984-1988.pdf"
"Die Klimadaten der letzten 125 Jahre von 1864 bis 1988 im Statistischen Jahrbuch der Stadt Zürich",1989,66,"Veränderung der mittleren Temperaturen und der mittleren Niederschlagsmengen in der Stadt Zürich und Extremwerte 1964 bis 1988","Klima, Wetter",19,"https://statistik.stadt-zuerich.ch/modules/StatNat/1989/1989_ZSN_Die-Klimadaten-der-letzten-125-Jahre-von-1864-bis-1988-im-Statistischen-Jahrbuch-der-Stadt-Zuerich.pdf"
"Entwicklung der Mietpreise in Zürich zwischen Herbst 1987 und Herbst 1989",1990,67,"Entwicklung des Zürcher Mietindex allgemein, nach Eigentümergruppen und nach Erstellungsperiode von Herbst 1987 bis Herbst 1989","Bauen & Wohnen, Mieten, Wohnen, Indexreihen",22,"https://statistik.stadt-zuerich.ch/modules/StatNat/1990/1990_ZSN_Entwicklung-der-Mietpreise-in-Zuerich-zwischen-Herbst-1987-und-Herbst-1989.pdf"
"Zürcher Index der Konsumentenpreise im Jahre 1989",1990,67,"Durchschnittliche Preisentwicklung nach Monaten für Konsumgüter und Dienstleistungen sowie Mieten 1989","Konsumentenpreise, Preise, Indexreihen, Wirtschaft, Mieten, Inflation",28,"https://statistik.stadt-zuerich.ch/modules/StatNat/1990/1990_ZSN_Zuercher-Index-der-Konsumentenpreise-im-Jahre-1989.pdf"
"Die Zimmerbelegung in den Hotelbetrieben der Stadt Zürich 1989",1990,67,"Zimmer- und Bettenbelegung nach Betreibskategorien, Monaten, Tagen sowie Zimmerbelegung nach Ein- und Mehrbettzimmern 1989","Tourismus, Aufenthaltsart, Hotel, Reisen, Übernachtungen",17,"https://statistik.stadt-zuerich.ch/modules/StatNat/1990/1990_ZSN_Die-Zimmerbelegung-in-den-Hotelbetrieben-der-Stadt-Zuerich-1989.pdf"
"Entwicklung der Parkplatzzahlen in der Stadt Zürich",1990,67,"Entwicklung der Parkplatzzahlen auf Privatgrund nach Quartier, Parkplatzart und Nutzungstyp sowie auf öffentlichem Grund nach Stadtkreis und Kategorie 1970 bis 1989","Verkehr, Auto, Raumplanung, Stadtplanung, Parkplätze",26,"https://statistik.stadt-zuerich.ch/modules/StatNat/1990/1990_ZSN_Entwicklung-der-Parkplatzzahlen-in-der-Stadt-Zuerich.pdf"
"Wohnungsbau in der Stadt und der Agglomeration Zürich 1989",1990,67,"Entwicklung des Wohnungsbestands in Zürich und Agglomeration 1989","Bauen & Wohnen, Bautätigkeit, Gebäude, Wohnungen, Agglomeration",19,"https://statistik.stadt-zuerich.ch/modules/StatNat/1990/1990_ZSN_Wohnungsbau-in-der-Stadt-und-der-Agglomeration-Zuerich-1989.pdf"
"Zürcher Fremdenverkehr im Jahre 1989",1990,67,"Entwicklung und aktuelle Struktur des Fremdenverkehrs in der Stadt Zürich 1989","Tourismus, Aufenthaltsart, Hotel, Reisen, Übernachtungen",28,"https://statistik.stadt-zuerich.ch/modules/StatNat/1990/1990_ZSN_Zuercher-Fremdenverkehr-im-Jahre-1989.pdf"
"Zürcher Index der Wohnbaukosten und seine Revision 1988",1990,67,"Erstmalige Ergebnisse des revidierten Zürcher Index der Wohnbaukosten, halbjährliche Entwicklung, Index für die einzelnen Arbeitsgattungen in der Stadt Zürich 1988","Wohnbaupreise, Indexreihen, Preise , Baukosten",46,"https://statistik.stadt-zuerich.ch/modules/StatNat/1990/1990_ZSN_Zuercher-Index-der-Wohnbaukosten-und-seine-Revision-1988.pdf"
"Leerwohnungszählung in der Stadt Zürich am 1. Juni 1990",1990,67,"Leerwohnungsbestand nach Zimmerzahl und Stadtquartieren in der Stadt Zürich 1990","Bauen & Wohnen, Leerwohnungen, Wohnen, Wohnungen",8,"https://statistik.stadt-zuerich.ch/modules/StatNat/1990/1990_ZSN_Leerwohnungszaehlung-in-der-Stadt-Zuerich-am-1-Juni-1990.pdf"
"Zürcher Bevölkerung im Jahre 1989",1990,67,"Wohnbevölkerung, Bevölkerungsdichte, Bevölkerungsbilanz und Bevölkerungsstruktur in der Stadt Zürich und in der Agglomeration 1989","Geburten, Bevölkerungsbilanz, Bevölkerungsentwicklung, Eheschliessung, Sterbefälle, Wanderungssaldo, Agglomeration, Bevölkerungsstand, Bevölkerungsgliederung",28,"https://statistik.stadt-zuerich.ch/modules/StatNat/1990/1990_ZSN_Zuercher-Bevoelkerung-im-Jahre-1989.pdf"
"Versuch einer Bevölkerungsprojektion ins Jahr 2006",1990,67,"Projektionsmodell für die Entwicklung der Zürcher Bevölkerung bis 2006 nach Heimat und Altersgruppe 2006","Bevölkerungsszenarien, Bevölkerungsentwicklung, Bevölkerung, Bevölkerungspyramide, Bevölkerungsbewegung",17,"https://statistik.stadt-zuerich.ch/modules/StatNat/1990/1990_ZSN_Versuch-einer-Bevoelkerungsprojektion-ins-Jahr-2006.pdf"
"Grundeigentumswechsel und Grundstückpreise in der Stadt Zürich 1978-1988",1990,67,"Grundeigentumswechsel nach Eigentümerarten, Stadtquartieren, Heimat der Veräusserer und Erwerber und Durchschnittspreisen sowie Arbeits- und Wohndichte nach Stadtquartieren 1978 bis 1988","Grundstückpreise, Liegenschaftenhandel, Grundeigentum, Grundeigentumswechsel",56,"https://statistik.stadt-zuerich.ch/modules/StatNat/1990/1990_ZSN_Grundeigentumswechsel-und-Grundstueckpreise-in-der-Stadt-Zuerich-1978-1988.pdf"
"Wahl des Zürcher Gemeinde- und Stadtrats 1990",1990,67,"Übersicht über die Wahlresultate, der Wahlberechtigung und der Wahlbeteiligung der Gemeinde- und Stadtratswahlen in Zürich 1990","Politik, Stadtratswahlen, Wahlen, Gemeinderatswahlen, Parteistärke, Parteizugehörige",53,"https://statistik.stadt-zuerich.ch/modules/StatNat/1990/1990_ZSN_Wahl-des-Zuercher-Gemeinde--und-Stadtrats-1990.pdf"
"Wohnungsbau in der Stadt und der Agglomeration Zürich",1991,68,"Entwicklung des Wohnungsbestands in Zürich und Agglomeration 1990","Bauen & Wohnen, Bautätigkeit, Gebäude, Wohnungen, Agglomeration",21,"https://statistik.stadt-zuerich.ch/modules/StatNat/1991/1991_ZSN_Wohnungsbau-in-der-Stadt-und-der-Agglomeration-Zuerich.pdf"
"Zürcher Bevölkerung im Jahre 1990",1991,68,"Wohnbevölkerung, Bevölkerungsdichte und Bevölkerungsbilanz in der Stadt Zürich und in der Agglomeration 1990","Geburten, Bevölkerungsbilanz, Bevölkerungsentwicklung, Eheschliessung, Sterbefälle, Wanderungssaldo, Agglomeration, Bevölkerungsstand, Bevölkerungsgliederung",25,"https://statistik.stadt-zuerich.ch/modules/StatNat/1991/1991_ZSN_Zuercher-Bevoelkerung-im-Jahre-1990.pdf"
"Zürcher Index der Konsumentenpreise im Jahre 1990",1991,68,"Durchschnittliche Preisentwicklung nach Monaten für Konsumgüter und Dienstleistungen sowie Mieten 1990","Konsumentenpreise, Preise, Indexreihen, Wirtschaft, Mieten, Inflation",32,"https://statistik.stadt-zuerich.ch/modules/StatNat/1991/1991_ZSN_Zuercher-Index-der-Konsumentenpreise-im-Jahre-1990.pdf"
"Zürcher Fremdenverkehr im Jahre 1990",1991,68,"Entwicklung und aktuelle Struktur des Fremdenverkehrs in der Stadt Zürich 1990","Tourismus, Aufenthaltsart, Hotel, Reisen, Übernachtungen",28,"https://statistik.stadt-zuerich.ch/modules/StatNat/1991/1991_ZSN_Zuercher-Fremdenverkehr-im-Jahre-1990.pdf"
"Statistik der Todesursachen 1980-1989",1991,68,"Mittleres Sterbealter und Todesursachen gesamthaft, nach Geschlecht und nach Altersgruppen (spezifische Sterbeziffern) in der Stadt Zürich 1980 bis 1989","Bevölkerung, Bevölkerungsentwicklung, Gesundheit, Todesursachen, Todesfälle, Bevölkerungsbewegung",44,"https://statistik.stadt-zuerich.ch/modules/StatNat/1991/1991_ZSN_Statistik-der-Todesursachen-1980-1989.pdf"
"Mietindex und Mietpreisniveau im zwischenörtlichen Vergleich von Frühjahr 1977 bis Herbst 1990",1991,68,"Vergleich der Entwicklung des Zürcher Mietindexes mit dem Index der Konsumentenpreise und dem Hypothekarzinssatz und zwischenörtlicher Vergleich der Mietpreise 1977 bis 1990","Bauen & Wohnen, Mieten, Wohnen, Indexreihen",29,"https://statistik.stadt-zuerich.ch/modules/StatNat/1991/1991_ZSN_Mietindex-und-Mietpreisniveau-im-zwischenoertlichen-Vergleich-von-Fruehjahr-1977-bis-Herbst-1990.pdf"
"Der Wohnungsmarkt in der Stadt Zürich 1990 und 1991",1991,68,"Überblick über den Zürcher Wohnungsmarkt mit den leerstehenden Wohnungen und den Wohnungswechseln 1990 und 1991","Bauen & Wohnen, Wohnen, Leerwohnungen, Wohnungen",41,"https://statistik.stadt-zuerich.ch/modules/StatNat/1991/1991_ZSN_Der-Wohnungsmarkt-in-der-Stadt-Zuerich-1990-und-1991.pdf"
"Die Wahlabstinenz bei den Zürcher Gemeindewahlen vom 4. März 1990",1991,68,"Die Nichtwähler bei den Gemeinderatswahlen nach Alter, Geschlecht, Zivilstand, Konfession, Sozialgruppen, Heimat, Stadtquartieren etc. 1990","Gemeinderatswahlen, Stadtratswahlen, Wahlen, Politik, Wahlbeteiligung",40,"https://statistik.stadt-zuerich.ch/modules/StatNat/1991/1991_ZSN_Die-Wahlabstinenz-bei-den-Zuercher-Gemeindewahlen-vom-4-Maerz-1990.pdf"
"Entwicklung der ’administrierten’ Preise seit 1977",1992,69,"Entwicklung der Preise für öffentliche Dienstleistungen im Vergleich zum allgemeinen Preisniveau 1977 bis 1991","Indexreihen, Konsumentenpreise, Preise",13,"https://statistik.stadt-zuerich.ch/modules/StatNat/1992/1992_ZSN_Entwicklung-der-administrierten-Preise-seit-1977.pdf"
"Wohnungsbau in der Stadt und der Agglomeration Zürich, 1991",1992,69,"Entwicklung des Wohnungsbestands in Zürich und Agglomeration 1991","Bauen & Wohnen, Bautätigkeit, Gebäude, Wohnungen, Agglomeration",17,"https://statistik.stadt-zuerich.ch/modules/StatNat/1992/1992_ZSN_Wohnungsbau-in-der-Stadt-und-der-Agglomeration-Zuerich-1991.pdf"
"Zürich im Spiegel der Eidg. Landwirtschaftszählung 1990 - oder: Die Stadt als Bauerndorf",1992,69,"Ergebnisse der Eidg. Landwirtschafts- und Gartenbauzählung für die Stadt Zürich im Vergleich zum Kanton Zürich 1990","Wirtschaft, Betriebe, Landwirtschaft",15,"https://statistik.stadt-zuerich.ch/modules/StatNat/1992/1992_ZSN_Zuerich-im-Spiegel-der-Eidg-Landwirtschaftszaehlung-1990-oder-Die-Stadt-als-Bauerndorf.pdf"
"Zürcher Fremdenverkehr im Jahre 1991",1992,69,"Entwicklung und aktuelle Struktur des Fremdenverkehrs in der Stadt Zürich 1991","Tourismus, Aufenthaltsart, Hotel, Reisen, Übernachtungen",23,"https://statistik.stadt-zuerich.ch/modules/StatNat/1992/1992_ZSN_Zuercher-Fremdenverkehr-im-Jahre-1991.pdf"
"Kirchen- Ein- und -Austritte, Konversionen, 1986 -1991",1992,69,"Kirchenein- und austritte und Konversionen in der Stadt Zürich nach Alter, Heimat und Stadtquartieren 1986 bis 1991","Religion, Konfession",9,"https://statistik.stadt-zuerich.ch/modules/StatNat/1992/1992_ZSN_Kirchen--Ein--und--Austritte-Konversionen-1986-1991.pdf"
"Zürcher Bevölkerung im Jahre 1991",1992,69,"Wohnbevölkerung, Bevölkerungsdichte und Bevölkerungsbilanz in der Stadt Zürich und in der Agglomeration 1991","Geburten, Bevölkerungsbilanz, Bevölkerungsentwicklung, Eheschliessung, Sterbefälle, Wanderungssaldo, Agglomeration, Bevölkerungsstand, Bevölkerungsgliederung",25,"https://statistik.stadt-zuerich.ch/modules/StatNat/1992/1992_ZSN_Zuercher-Bevoelkerung-im-Jahre-1991.pdf"
"Zürcher Index der Konsumentenpreise im Jahre 1991",1992,69,"Durchschnittliche Preisentwicklung nach Monaten für Konsumgüter und Dienstleistungen sowie Mieten 1991","Konsumentenpreise, Preise, Indexreihen, Wirtschaft, Mieten, Inflation",24,"https://statistik.stadt-zuerich.ch/modules/StatNat/1992/1992_ZSN_Zuercher-Index-der-Konsumentenpreise-im-Jahre-1991.pdf"
"Passagierfrequenzen in den SBB-Zügen von und nach Zürich - Juli bis November 1989, 1990 und 1991",1992,69,"Fahrgastzahlen in den SBB-Zügen von und nach Zürich nach Stundenintervall und Fahrtrichtung von Juli bis November 1989 bis 1991","Verkehr, Öffentlicher Verkehr",19,"https://statistik.stadt-zuerich.ch/modules/StatNat/1992/1992_ZSN_Passagierfrequenzen-in-den-SBB-Zuegen-von-und-nach-Zuerich-Juli-bis-November-1989-1990-und-1991.pdf"
"Erste Ergebnisse der Eidg. Volkszählung 1990 - Blickpunkt: Städte",1992,69,"Ergebnisse der Eidg. Volkszählung, Vergleich der Bevölkerung in den Städten der Schweiz nach Einwohnerzahl, Altersgruppen, Heimat und Zivilstand 1990","Altersklassen, Bevölkerungsbestand, Aufenthaltsart, Zivilstand, Volkszählung",13,"https://statistik.stadt-zuerich.ch/modules/StatNat/1992/1992_ZSN_Erste-Ergebnisse-der-Eidg-Volkszaehlung-1990-Blickpunkt-Staedte.pdf"
"Leerwohnungszählung in der Stadt Zürich am 1. Juni 1992",1992,69,"Leerwohnungsbestand nach Zimmerzahl und Stadtquartieren in der Stadt Zürich 1992","Bauen & Wohnen, Leerwohnungen, Wohnen, Wohnungen",9,"https://statistik.stadt-zuerich.ch/modules/StatNat/1992/1992_ZSN_Leerwohnungszaehlung-in-der-Stadt-Zuerich-am-1-Juni-1992.pdf"
"Wohnungsbau in der Stadt Zürich im 1. Halbjahr 1992",1992,69,"Neuerstellte Wohnungen und Entwicklung des Wohnungsbestands in der Stadt Zürich im 1. Halbjahr 1992","Bauen & Wohnen, Bautätigkeit, Gebäude, Wohnungen",6,"https://statistik.stadt-zuerich.ch/modules/StatNat/1992/1992_ZSN_Wohnungsbau-in-der-Stadt-Zuerich-im-1-Halbjahr-1992.pdf"
"Arbeitsstätten und Beschäftigte in der Stadt Zürich - Ergebnisse der Betriebszählung 1991",1992,69,"Ergebnisse der Eidgenössischen Betriebszählung von 1991, Arbeitsstätten und Beschäftigte in der Stadt Zürich nach Wirtschaftsklassen und Stadtquartieren 1991","Wirtschaft, Beschäftigte, Betriebe, Branchen, Betriebszählung",20,"https://statistik.stadt-zuerich.ch/modules/StatNat/1992/1992_ZSN_Arbeitsstaetten-und-Beschaeftigte-in-der-Stadt-Zuerich-Ergebnisse-der-Betriebszaehlung-1991.pdf"
"Strassenverkehrsunfälle in der Stadt Zürich in den Jahren 1989 - 1991",1992,69,"Strassenverkehrsunfälle nach Unfallursachen, Unfallart, Unfallstelle, Strassenart, Alter, Fahrzeugart, Unfallzeit etc. 1989 bis 1991","Auto, Verkehr, Unfälle",22,"https://statistik.stadt-zuerich.ch/modules/StatNat/1992/1992_ZSN_Strassenverkehrsunfaelle-in-der-Stadt-Zuerich-in-den-Jahren-1989-1991.pdf"
"Wohnungsbau in der Stadt / in der Agglomeration Zürich, 1992",1993,70,"Entwicklung des Wohnungsbestands in Zürich und Agglomeration 1992","Bauen & Wohnen, Bautätigkeit, Gebäude, Wohnungen, Agglomeration",18,"https://statistik.stadt-zuerich.ch/modules/StatNat/1993/1993_ZSN_Wohnungsbau-in-der-Stadt-in-der-Agglomeration-Zuerich-1992.pdf"
"Zürcher Index der Konsumentenpreise im Jahre 1992",1993,70,"Durchschnittliche Preisentwicklung nach Monaten für Konsumgüter und Dienstleistungen sowie Mieten 1992","Konsumentenpreise, Preise, Indexreihen, Wirtschaft, Mieten, Inflation",6,"https://statistik.stadt-zuerich.ch/modules/StatNat/1993/1993_ZSN_Zuercher-Index-der-Konsumentenpreise-im-Jahre-1992.pdf"
"Das Abstimmungsverhalten der Stadtzürcher Stimmberechtigten im Vergleich zu jenen im übrigen Kanton Zürich, 1951 - 1992",1993,70,"Unterschiede und Gemeinsamkeiten im Abstimmungsverhalten der Stadt Zürcher Stimmberechtigten im Verlgeich zu den Stimmberechtigten des Kantons Zürich 1951 bis 1992","Politik, Abstimmungen",15,"https://statistik.stadt-zuerich.ch/modules/StatNat/1993/1993_ZSN_Das-Abstimmungsverhalten-der-Stadtzuercher-Stimmberechtigten-im-Vergleich-zu-jenen-_-1951-1992.pdf"
"Zürcher Fremdenverkehr im Jahre 1992",1993,70,"Entwicklung und aktuelle Struktur des Fremdenverkehrs in der Stadt Zürich 1992","Tourismus, Aufenthaltsart, Hotel, Reisen, Übernachtungen",21,"https://statistik.stadt-zuerich.ch/modules/StatNat/1993/1993_ZSN_Zuercher-Fremdenverkehr-im-Jahre-1992.pdf"
"Zürcher Bevölkerung im Jahre 1992",1993,70,"Wohnbevölkerung, Bevölkerungsdichte und Bevölkerungsbilanz in der Stadt Zürich und in der Agglomeration 1992","Geburten, Bevölkerungsbilanz, Bevölkerungsentwicklung, Eheschliessung, Sterbefälle, Wanderungssaldo, Agglomeration, Bevölkerungsstand, Bevölkerungsgliederung",23,"https://statistik.stadt-zuerich.ch/modules/StatNat/1993/1993_ZSN_Zuercher-Bevoelkerung-im-Jahre-1992.pdf"
"Leerwohnungszählung in der Stadt Zürich am 1. Juni 1993",1993,70,"Leerwohnungsbestand nach Zimmerzahl und Stadtquartieren in der Stadt Zürich 1993","Bauen & Wohnen, Leerwohnungen, Wohnen, Wohnungen",9,"https://statistik.stadt-zuerich.ch/modules/StatNat/1993/1993_ZSN_Leerwohnungszaehlung-in-der-Stadt-Zuerich-am-1-Juni-1993.pdf"
"Die Haupt- und Umgangssprachen der Zürcher Wohnbevölkerung - Ergebnisse der Eidgenössischen Volkszählung 1990",1993,70,"Ergebnisse der Eidg. Volkszählung, Hauptsprache und Umgangssprache zu Hause bzw. im Beruf, in der Schule der Stadtzürcher Bevölkerung 1990","Bevölkerung, Sprache, Ausländische Bevölkerung, Volkszählung",20,"https://statistik.stadt-zuerich.ch/modules/StatNat/1993/1993_ZSN_Die-Haupt--und-Umgangssprachen-der-Zuercher-Wohnbevoelkerung-Ergebnisse-_-Volkszaehlung-1990.pdf"
"Haushalte in der Stadt Zürich in ihrer zeitlichen Entwicklung - Ergebnisse der Eidgenössischen Volkszählung 1990",1993,70,"Ergebnisse der Eidg. Volkszählung, Haushalte der Stadt Zürich nach Anzahl Bewohner, Typus und Stadtquartier 1990","Bevölkerung, Bauen & Wohnen, Wohnen, Wohnungen, Haushalte, Volkszählung",16,"https://statistik.stadt-zuerich.ch/modules/StatNat/1993/1993_ZSN_Haushalte-in-der-Stadt-Zuerich-in-ihrer-zeitlichen-Entwicklung-Ergebnisse-_-Volkszaehlung-1990.pdf"
"Eineltern-Haushalte - Ergebnisse der Eidgenössischen Volkszählung 1990",1993,70,"Ergebnisse der Eidg. Volkszählung, Merkmale des Vorstands von Eineltern-Haushalten in der Stadt Zürich 1990","Bevölkerung, Haushalte, Familie, Bauen & Wohnen, Wohnen, Volkszählung",11,"https://statistik.stadt-zuerich.ch/modules/StatNat/1993/1993_ZSN_Eineltern-Haushalte-Ergebnisse-der-Eidgenoessischen-Volkszaehlung-1990.pdf"
"Zürcher Wohnungsstruktur und Mietpreise - Ergebnisse der Eidgenössischen Wohnungszählung 1990",1993,70,"Ergebnisse der Eidg. Wohnungszählung, dauernd bewohnte Wohnungen in der Stadt Zürich nach verschiedenen Strukturmerkmalen, nach Stadtquartieren und im Verlgeich mit anderen Schweizer Städten 1990","Wohnen, Bauen & Wohnen, Wohnungen, Bevölkerung, Haushalte, Stadtquartiere",78,"https://statistik.stadt-zuerich.ch/modules/StatNat/1993/1993_ZSN_Zuercher-Wohnungsstruktur-und-Mietpreise-Ergebnisse-der-Eidgenoessischen-Wohnungszaehlung-1990.pdf"
"Wohnungsbau in der Stadt / in der Agglomeration Zürich, 1993",1994,71,"Entwicklung des Wohnungsbestands in Zürich und Agglomeration 1993","Bauen & Wohnen, Bautätigkeit, Gebäude, Wohnungen, Agglomeration",18,"https://statistik.stadt-zuerich.ch/modules/StatNat/1994/1994_ZSN_Wohnungsbau-in-der-Stadt-in-der-Agglomeration-Zuerich-1993.pdf"
"Zürcher Fremdenverkehr im Jahre 1993",1994,71,"Entwicklung und aktuelle Struktur des Fremdenverkehrs in der Stadt Zürich 1993","Tourismus, Aufenthaltsart, Hotel, Reisen, Übernachtungen",20,"https://statistik.stadt-zuerich.ch/modules/StatNat/1994/1994_ZSN_Zuercher-Fremdenverkehr-im-Jahre-1993.pdf"
"Einpersonenhaushalte - Ergebnisse der Eidgenössischen Volkszählung 1990",1994,71,"Ergebnisse der Eidg. Volkszählung, Einpersonenhaushalte in der Stadt Zürich nach Zimmerzahl und soziodemographischen Merkmalen 1990","Bauen & Wohnen, Wohnen, Wohnungen, Haushalte, Volkszählung",20,"https://statistik.stadt-zuerich.ch/modules/StatNat/1994/1994_ZSN_Einpersonenhaushalte-Ergebnisse-der-Eidgenoessischen-Volkszaehlung-1990.pdf"
"Zürcher Bevölkerung im Jahre 1993",1994,71,"Wohnbevölkerung, Bevölkerungsdichte und Bevölkerungsbilanz in der Stadt Zürich und in der Agglomeration 1993","Geburten, Bevölkerungsbilanz, Bevölkerungsentwicklung, Eheschliessung, Sterbefälle, Wanderungssaldo, Agglomeration, Bevölkerungsstand, Bevölkerungsgliederung",23,"https://statistik.stadt-zuerich.ch/modules/StatNat/1994/1994_ZSN_Zuercher-Bevoelkerung-im-Jahre-1993.pdf"
"Zu-, Weg-, Binnen- sowie Nichtpendler und Pendlerinnen in der Stadt Zürich - Analyse der Volkszählungsdaten 1990",1994,71,"Ergebnisse der Eidg. Volkszählung, Entwicklung der Pendlerströme, Pendlerbilanzen, benützte Verkehrsmittel, Zeitbedarf und Weghäufigkeit in die und aus der Stadt Zürich 1990","Bevölkerung, Pendelnde, Wirtschaft, Verkehr, Velo, Auto, Öffentlicher Verkehr, Volkszählung",38,"https://statistik.stadt-zuerich.ch/modules/StatNat/1994/1994_ZSN_Zu--Weg--Binnen--sowie-Nichtpendler-und-Pendlerinnen-in-der-Stadt-Zuerich-Analyse-_-1990.pdf"
"Zürcher Städteindex der Konsumentenpreise Hauptmerkmale der Revision vom Mai 1993",1994,71,"Merkmale des neuen Städteindexes der Konsumentenpreise nach der Revision vom Mai 1993","Konsumentenpreise, Preise, Wirtschaft, Mieten",17,"https://statistik.stadt-zuerich.ch/modules/StatNat/1994/1994_ZSN_Zuercher-Staedteindex-der-Konsumentenpreise-Hauptmerkmale-der-Revision-vom-Mai-1993.pdf"
"Zürcher Städteindex der Konsumentenpreise im Jahre 1993",1994,71,"Durchschnittliche Preisentwicklung nach Monaten für Konsumgüter und Dienstleistungen sowie Mieten in den Städten des Kantons Zürich 1993","Konsumentenpreise, Preise, Indexreihen, Wirtschaft, Mieten, Inflation",22,"https://statistik.stadt-zuerich.ch/modules/StatNat/1994/1994_ZSN_Zuercher-Staedteindex-der-Konsumentenpreise-im-Jahre-1993.pdf"
"Leerwohnungszählung in der Stadt Zürich am 1. Juni 1994",1994,71,"Leerwohnungsbestand nach Zimmerzahl und Stadtquartieren in der Stadt Zürich 1994","Bauen & Wohnen, Leerwohnungen, Wohnen, Wohnungen",9,"https://statistik.stadt-zuerich.ch/modules/StatNat/1994/1994_ZSN_Leerwohnungszaehlung-in-der-Stadt-Zuerich-am-1-Juni-1994.pdf"
"Zählung leerstehender Industrie- und Geschäftsräume in der Stadt Zürich am 1. Juni 1994",1994,71,"Leerstehende Industrie- und Geschäftsräume nach Nutzungsart und Stadtquartieren in der Stadt Zürich 1994","Leerflächen, Wirtschaft, Mieten, Geschäftslokale, Industrieräume",10,"https://statistik.stadt-zuerich.ch/modules/StatNat/1994/1994_ZSN_Zaehlung-leerstehender-Industrie--und-Geschaeftsraeume-in-der-Stadt-Zuerich-am-1-Juni-1994.pdf"
"Wahl des Zürcher Gemeinde- und Stadtrats 1994",1994,71,"Übersicht über die Wahlresultate, der Wahlberechtigung und der Wahlbeteiligung der Gemeinde- und Stadtratswahlen in Zürich 1994","Politik, Stadtratswahlen, Wahlen, Gemeinderatswahlen, Parteistärke, Parteizugehörige",32,"https://statistik.stadt-zuerich.ch/modules/StatNat/1994/1994_ZSN_Wahl-des-Zuercher-Gemeinde--und-Stadtrats-1994.pdf"
