Abstimmungs_Datum,Nr_Politische_Ebene,Name_Politische_Ebene,Abstimmungs_Text,Nr_Resultat_Gebiet,Name_Resultat_Gebiet,Nr_Wahlkreis_StZH,Name_Wahlkreis_StZH,Stimmberechtigt,Ja_Absolut,Nein_Absolut,Stimmbeteiligung_Prozent,Ja_Prozent,Nein_Prozent,Staende_Ja,Staende_Nein
11/30/2025,2,Kanton Zürich,Strassengesetz (StrG) (Änderung vom 31. März 2025; Umsetzung der «Mobilitätsinitiative»),3,Stadt Zürich,3,Kreis 3,27707,4755,8573,49.9,35.7,64.3,,
11/30/2025,2,Kanton Zürich,Strassengesetz (StrG) (Änderung vom 31. März 2025; Umsetzung der «Mobilitätsinitiative»),3,Stadt Zürich,4,Kreis 4+5,24384,3638,8036,49.5,31.2,68.8,,
11/30/2025,2,Kanton Zürich,Strassengesetz (StrG) (Änderung vom 31. März 2025; Umsetzung der «Mobilitätsinitiative»),3,Stadt Zürich,5,Kreis 6,19832,4173,6762,57.3,38.2,61.8,,
11/30/2025,2,Kanton Zürich,Strassengesetz (StrG) (Änderung vom 31. März 2025; Umsetzung der «Mobilitätsinitiative»),3,Stadt Zürich,6,Kreis 7+8,31842,8960,8517,56.8,51.3,48.7,,
11/30/2025,2,Kanton Zürich,Strassengesetz (StrG) (Änderung vom 31. März 2025; Umsetzung der «Mobilitätsinitiative»),3,Stadt Zürich,7,Kreis 9,32043,6261,7876,45.6,44.3,55.7,,
11/30/2025,2,Kanton Zürich,Strassengesetz (StrG) (Änderung vom 31. März 2025; Umsetzung der «Mobilitätsinitiative»),3,Stadt Zürich,8,Kreis 10,24455,5374,7868,55.9,40.6,59.4,,
11/30/2025,2,Kanton Zürich,Strassengesetz (StrG) (Änderung vom 31. März 2025; Umsetzung der «Mobilitätsinitiative»),3,Stadt Zürich,9,Kreis 11,38058,7403,8086,42.2,47.8,52.2,,
11/30/2025,2,Kanton Zürich,Strassengesetz (StrG) (Änderung vom 31. März 2025; Umsetzung der «Mobilitätsinitiative»),3,Stadt Zürich,10,Kreis 12,15464,2593,2801,36.3,48.1,51.9,,
11/30/2025,2,Kanton Zürich,Strassengesetz (StrG) (Änderung vom 31. März 2025; Umsetzung der «Mobilitätsinitiative»),3,Stadt Zürich,,,237157,48331,64689,49.4,42.8,57.2,,
11/30/2025,3,Stadt Zürich,"ELCH Familienzentren, jährliche Beiträge von 2,326 Millionen Franken ab 2027",3,Stadt Zürich,2,Kreis 1+2,23372,8105,3093,50,72.4,27.6,,
11/30/2025,3,Stadt Zürich,"ELCH Familienzentren, jährliche Beiträge von 2,326 Millionen Franken ab 2027",3,Stadt Zürich,3,Kreis 3,27707,10407,2782,49.6,78.9,21.1,,
11/30/2025,3,Stadt Zürich,"ELCH Familienzentren, jährliche Beiträge von 2,326 Millionen Franken ab 2027",3,Stadt Zürich,4,Kreis 4+5,24384,9517,1985,49.3,82.7,17.3,,
11/30/2025,3,Stadt Zürich,"ELCH Familienzentren, jährliche Beiträge von 2,326 Millionen Franken ab 2027",3,Stadt Zürich,5,Kreis 6,19832,8570,2361,57.3,78.4,21.6,,
